,,,,归属母公司股东的净利润同比增长率(%),,,,,,,归属母公司股东的净利润-扣除非经常损益同比增长率(%),,,,,,,营业总收入同比增长率(%),,,,,,,销售毛利率,,,,,,,销售净利率,,,,,,,加权平均净资产收益率,,,,,,
ts_code,name,area,list_date,20200331_x,20190331_x,20191231_x,20181231_x,20171231_x,20161231_x,20151231_x,20200331_y,20190331_y,20191231_y,20181231_y,20171231_y,20161231_y,20151231_y,20200331_x,20190331_x,20191231_x,20181231_x,20171231_x,20161231_x,20151231_x,20200331_y,20190331_y,20191231_y,20181231_y,20171231_y,20161231_y,20151231_y,20200331_x,20190331_x,20191231_x,20181231_x,20171231_x,20161231_x,20151231_x,20200331_y,20190331_y,20191231_y,20181231_y,20171231_y,20161231_y,20151231_y
002079.SZ,苏州固锝,江苏,20061116,-25.3986,80.8372,2.0133,-9.6913,-7.6825,396.6756,-46.293,-44.23,240.1,-30.45,26.89,-7.76,609.18,-61.27,-22.9796,-8.3093,5.051,1.6572,56.1979,46.2332,-11.9473,14.1128,17.7501,17.3578,18.1899,18.9878,19.5012,14.3287,5.3221,6.1659,6.9457,7.0126,8.0384,11.1268,2.3046,0.75,1.07,5.78,6.0,7.02,8.06,1.79
002119.SZ,康强电子,浙江,20070302,-56.5946,49.3089,15.3874,25.3644,46.735,176.1491,-2573.771,-3.79,-48.63,8.43,24.9,32.93,208.73,-556.5,-12.8516,-7.1949,-4.3582,13.7524,8.9294,17.2101,-23.1543,20.544,19.0452,20.9254,20.2537,21.0536,19.6935,15.0839,4.1116,8.2552,6.5198,6.228,5.7347,4.2626,-5.2875,1.26,3.19,10.91,10.46,8.96,6.47,-8.41
002129.SZ,中环股份,天津,20070420,34.4709,50.1525,42.9263,8.163,45.4059,98.9372,52.9644,48.52,34.98,98.38,-38.69,60.07,254.12,28.68,18.143,36.4476,22.7633,42.6322,42.1747,34.6532,5.6585,20.0292,15.9311,19.4899,17.3522,19.8917,13.8846,14.9205,8.2208,6.1235,7.4687,5.736,6.1252,5.9541,4.2181,1.77,1.4,6.58,5.06,5.39,3.87,2.92
002156.SZ,通富微电,江苏,20070816,77.9656,-245.3242,-84.9209,3.9386,-32.456,22.7315,21.9334,63.59,-632.09,-406.74,1208.82,-96.95,472.87,-60.67,31.0088,0.8025,14.4501,10.7928,41.9805,97.754,11.0594,13.0608,8.6241,13.6715,15.9043,14.4634,17.9955,21.8029,-0.4265,-3.1266,0.4529,2.1187,3.0241,5.1551,6.345,-0.19,-0.87,0.31,2.12,3.07,4.74,4.5
002185.SZ,华天科技,甘肃,20071120,276.1307,-79.5107,-26.4301,-21.2743,26.6676,22.7318,6.819,5770.58,-98.86,-50.73,-27.33,24.15,61.47,-15.12,-1.1204,-11.2382,13.7858,1.5953,28.0338,41.3269,17.1998,18.5457,11.6216,16.3287,16.3219,17.8965,18.0429,20.5227,4.1923,1.0631,3.6147,6.0272,7.8035,7.5485,8.4753,0.81,0.28,4.3,7.07,9.67,8.19,11.76
002218.SZ,拓日新能,深圳,20080228,963.4625,13.7894,-12.3382,-45.5073,26.7666,314.3751,677.6312,1132.09,1.6,-21.82,-48.39,34.33,695.16,142.18,-14.0932,14.4935,-5.965,-26.0167,32.7011,56.8097,33.3822,39.985,32.0939,30.2966,27.8276,25.1213,26.6873,27.8718,39.4418,3.1861,7.3957,7.9333,10.7709,11.2751,4.2668,2.32,0.23,2.67,3.11,5.89,4.85,1.35
002449.SZ,国星光电,广东,20100716,-61.4577,31.4495,-8.6754,24.0581,86.7375,20.0182,10.6956,-75.44,44.54,-7.15,21.14,91.52,27.98,13.48,-36.4009,11.8655,0.0803,4.4404,43.5895,31.5422,19.1497,16.1237,24.2696,21.4673,24.4425,23.6717,21.5562,22.6208,5.7354,11.3274,9.6749,11.9589,9.9823,7.2568,8.3829,1.11,3.02,11.46,13.53,11.9,6.85,6.39
002724.SZ,海洋王,深圳,20141104,-36.1832,17.7214,35.4574,25.0015,36.6055,65.4706,-60.8307,-66.72,21.47,42.84,12.21,62.28,25.3,-55.55,-23.677,15.473,19.2615,14.2431,18.6036,3.1814,-15.1505,66.0654,69.48,70.0238,71.3401,70.8041,70.8802,70.2365,6.9706,8.3366,17.2157,15.1573,13.8528,12.0272,7.4998,0.64,1.1,12.96,10.43,8.98,7.04,4.41
002745.SZ,木林森,广东,20150217,-34.1707,2.806,-31.7433,7.7506,41.205,85.2734,-41.0861,142.49,-266.59,-144.31,-59.29,13.04,105.17,-46.56,-19.4285,130.8609,5.6865,119.7632,47.9709,42.2219,-3.0002,33.8322,30.5327,30.348,26.005,21.0181,24.3535,20.9912,2.9745,3.5899,2.6452,4.0548,8.2792,8.7933,6.6373,1.08,1.77,5.08,8.89,12.06,11.64,10.98
300046.SZ,台基股份,湖北,20100120,-100.3046,-0.7262,-356.5285,60.6578,38.5133,34.1296,-34.546,-106.72,-10.48,-557.01,619.84,-76.43,44.51,-38.89,-57.6635,-26.562,-36.6342,50.047,15.1017,45.7029,-25.0588,30.1011,42.9575,33.0571,35.7276,36.4816,34.7918,31.4173,-0.8754,27.686,-83.5881,20.5141,19.1593,15.921,17.2947,-0.01,2.54,-29.25,9.95,6.55,4.89,3.62
300053.SZ,欧比特,广东,20100211,-19.6123,2.1524,-346.2593,-21.4676,42.8948,46.2634,130.7383,-20.68,-31.78,-562.32,-38.41,27.44,40.48,118.4,-30.463,6.4177,-5.9922,22.6218,31.9527,44.0102,120.2907,51.5919,40.2967,34.0457,36.0225,35.849,35.456,39.4739,14.3497,12.4064,-27.4432,10.4689,16.297,15.0858,15.0964,0.63,0.72,-7.6,3.27,5.85,6.31,5.71
300077.SZ,国民技术,深圳,20100430,23.1853,-204.0692,106.4377,-231.7563,-582.2139,17.6743,747.3871,27.06,-335.13,64.58,-231.08,-753.34,69.49,247.23,-7.7786,-56.0438,-34.4362,-13.3674,-1.5814,25.9603,31.6886,52.2641,34.1027,24.7868,35.0559,30.3611,32.0972,35.6466,-18.0926,-23.6766,10.8711,-296.6252,-70.3507,14.338,15.3377,-1.0,-1.07,9.17,-93.57,-17.78,3.52,3.12
300080.SZ,易成新能,河南,20100625,-96.2171,-179.2724,-65.157,70.9921,-5496.3739,221.1465,-86.0401,126.13,-247.28,48.55,45.54,-5024.74,749.61,-110.53,-39.4666,-16.7829,-15.4473,52.6107,-23.9785,40.5479,-24.3588,8.4814,16.3448,35.65,14.128,17.2502,22.4947,21.759,0.8193,1.823,11.1829,-9.0383,-56.9229,1.2216,-0.0515,0.25,-0.41,13.91,-17.56,-33.8,0.64,0.2
300102.SZ,乾照光电,福建,20100812,-1965.7437,-94.5876,-255.5466,-14.5206,335.2001,153.6323,-261.3754,-476.94,-136.12,-1311.83,-76.32,980.98,112.39,-352.26,22.667,-12.3318,0.9401,-8.9115,-1.6827,87.0933,44.1173,9.0637,22.5047,7.6354,29.1726,36.9046,21.7453,19.845,-19.9426,1.311,-26.9434,17.4819,18.6289,4.2085,-14.6811,-1.86,0.09,-10.22,6.46,8.1,1.95,-4.85
300111.SZ,向日葵,浙江,20100827,227.2622,68.9545,89.7819,-4936.3701,-22.6531,-65.0322,133.9071,180.32,65.73,74.75,-5468.82,-75.54,-19.29,187.0,-52.3593,-59.7523,-7.0662,-57.0351,-4.5409,-12.1387,10.9707,25.5529,6.949,16.8576,-1.6261,12.0024,21.793,22.399,18.1389,-15.3468,-11.4156,-177.3309,1.4134,1.8692,4.8056,17.86,-6.61,-79.28,-153.22,1.81,2.39,7.18
300118.SZ,东方日升,浙江,20100902,-41.9111,278.3612,319.0101,-64.2382,-5.6729,113.6699,381.5553,27.31,40.55,195.3,-56.81,25.62,64.72,266.99,44.6099,14.935,47.703,-14.8413,63.2059,33.4125,78.1538,20.8257,17.4632,20.9212,18.1097,16.9242,20.5622,21.8392,5.1566,12.5995,6.7899,2.341,6.0104,10.3432,6.4982,2.12,4.0,12.39,3.1,16.04,20.29,11.3
300123.SZ,亚光科技,湖南,20100928,-23.3174,114.4964,83.4625,65.1257,428.4997,35.4956,-39.0622,-25.22,122.77,18.08,78.03,2184.64,-39.78,349.79,52.7937,33.7471,56.2311,34.8199,78.2975,32.9636,14.3446,22.4619,32.2712,24.7099,34.173,28.6199,23.2788,27.7097,7.3123,14.8429,12.7244,11.9589,9.8643,2.6126,3.3266,0.62,0.83,5.76,3.42,4.74,1.78,1.46
300223.SZ,北京君正,北京,20110531,408.9777,-17.3678,334.0199,107.8948,-7.8132,-77.9959,419.5395,97.14,35.2,87.88,-12.57,22.71,-7.05,-55.07,16.3076,25.0295,30.6855,40.7678,65.166,59.3123,18.7582,38.4384,41.6003,39.7758,39.8631,37.0076,46.3643,55.1107,21.904,5.0053,17.2858,5.2049,3.5243,6.3142,46.4373,1.01,0.21,4.95,1.19,0.59,0.65,2.99
300232.SZ,洲明科技,深圳,20110622,-17.1014,56.6521,28.5405,45.006,70.7984,46.5667,86.6089,-25.45,53.49,5.47,58.79,62.6,66.49,80.52,-26.9157,30.0856,23.8692,49.2921,73.5753,33.6482,34.2068,34.7082,30.8437,30.2946,31.4764,30.0425,29.7874,31.2537,7.6853,7.1067,9.5985,9.4238,9.4936,9.5513,11.046,2.2,3.22,19.96,20.46,17.21,14.03,16.07
300236.SZ,上海新阳,上海,20110629,59.4493,-60.399,3059.8244,-90.8078,33.1073,28.5238,-37.9508,54.95,-60.68,-3983.36,-97.96,39.6,18.72,-38.64,-2.8166,15.8111,14.5379,18.5039,14.114,12.3087,-2.0443,36.125,32.2058,32.4227,33.948,39.594,43.6876,41.3973,8.1978,4.7933,32.9001,1.0969,15.1865,12.8864,11.2472,0.67,0.5,15.33,0.51,5.69,4.74,4.81
300241.SZ,瑞丰光电,深圳,20110712,-56.0555,-42.7686,-246.2683,-35.7408,168.3518,50.6203,39.2925,-102.22,-31.97,-1085.01,-80.01,70.95,82.75,33.74,-26.015,-6.2918,-12.173,-1.3693,34.2846,28.0611,1.553,15.3636,16.2947,18.5678,19.7027,18.7149,19.0603,15.5366,2.8791,5.0924,-8.9658,5.4439,8.3811,4.2492,3.6134,0.6,1.21,-10.05,6.85,12.32,5.22,5.14
300269.SZ,联建光电,深圳,20111012,-142.9421,-316.0802,52.1806,-2869.4796,-59.6743,59.3524,27.0789,-26.51,-455.62,51.38,-1080.17,-233.56,60.0752,21.4775,-62.5544,-1.8177,-25.6529,2.5556,42.4042,86.7257,54.3038,26.2704,22.3672,21.93,27.153,31.4551,35.0767,36.8791,-26.838,-4.1234,-45.8067,-71.2297,2.5999,9.243,10.9391,-15.35,-1.7,-110.44,-83.67,2.05,9.15,9.34
300296.SZ,利亚德,北京,20120315,-95.6633,12.1322,-44.3307,4.5253,80.8804,102.1921,105.0507,-98.25,10.21,-39.21,2.89,101.69,113.6,116.07,-45.8963,23.5011,17.4901,19.0056,47.8049,116.4482,71.42,31.4937,35.7759,34.1055,38.751,40.4849,38.4276,41.752,1.2569,15.2299,7.8247,16.4123,18.7131,15.2188,16.4164,0.18,4.22,8.48,16.11,24.06,22.06,21.23
300301.SZ,长方集团,深圳,20120321,-287.7674,464.1145,-173.7698,-532.878,157.7554,-162.2062,99.0516,-415.89,355.42,-187.41,-1021.59,122.25,-180.34,83.59,-28.0056,5.3215,2.7079,-10.0559,9.2218,12.9771,53.9888,13.2301,25.3049,25.3211,25.5478,26.9228,20.989,25.946,-12.3091,4.7213,-26.555,-6.8746,5.7098,-0.4812,9.3829,-2.63,0.99,-30.55,-7.77,1.69,-3.92,8.57
300303.SZ,聚飞光电,深圳,20120319,-2.7474,52.8194,93.006,167.0183,-61.4413,51.6213,-42.7814,-0.5,74.46,100.74,138.37,-62.21,82.62,-50.79,-14.6917,-9.3802,6.9011,14.1053,36.1832,57.2823,-3.1322,27.5356,25.2611,27.9165,21.8626,21.7231,24.2081,23.5599,12.5029,10.487,12.2171,6.5205,2.1941,10.3164,10.4283,2.45,2.88,15.05,8.55,3.3,8.82,9.11
300317.SZ,珈伟新能,深圳,20120511,59.1076,-213.7553,45.97,-786.4426,-15.3752,150.1668,1574.7554,91.92,-278.1,48.56,-807.07,-17.085,187.0382,934.98,-46.9636,-44.9521,-50.2253,-48.9588,13.317,53.5601,179.685,41.9858,33.08,32.0834,22.817,26.8005,27.4798,24.8098,-8.5029,-12.1869,-128.8893,-118.061,8.721,11.6714,7.1618,-0.63,-0.99,-43.87,-50.29,6.67,8.98,10.05
300323.SZ,华灿光电,湖北,20120601,48.2815,-201.7054,-529.6979,-51.4326,87.9208,378.4281,-205.5637,33.32,-380.27,-4781.18,-89.26,970.39,113.38,-1278.77,-17.6131,-22.5396,-0.5586,3.8665,66.2069,65.6183,35.3092,-0.9324,-4.393,-5.6985,28.9638,33.2234,23.9421,16.7464,-16.5871,-26.423,-38.5764,8.9274,19.0922,16.8861,-10.0444,-1.57,-2.49,-19.55,4.75,13.62,9.83,-5.58
300327.SZ,中颖电子,上海,20120613,29.7735,-6.5108,12.5016,25.9306,24.161,116.2026,59.5402,15.81,-9.9,12.93,27.35,28.77,97.9,80.3,16.0592,-11.0134,10.0878,10.4978,32.4554,25.8479,10.8599,40.9225,42.9512,42.3139,43.8431,43.0514,44.2029,42.3269,19.3637,17.2202,21.7432,21.293,18.8455,20.6319,12.1018,4.26,3.7,20.82,20.5,18.04,16.35,8.39
300373.SZ,扬杰科技,江苏,20140123,58.557,-44.9968,20.1567,-29.7026,32.076,46.4565,22.7852,126.11,-51.31,5.95,-8.23,13.02,52.39,26.66,19.7589,2.8289,8.3861,26.0138,23.4712,42.7236,28.7246,30.9857,27.8731,29.8045,31.3629,35.5754,35.3553,34.6354,11.0525,8.2829,10.9833,10.1775,18.198,16.9958,16.6097,2.16,1.46,9.16,8.02,12.5,15.99,17.68
